"","prop_sampled","sim_num","method","(Intercept)","age","Error age","Error Intercept"
"162",0.02,24,"none",1872121.75732635,-5838.97623224483,-522.88011474525,37078.5216026397
"163",0.02,24,"rake",1874320.36835499,-5870.40673544005,-554.310617940472,39277.1326312886
"164",0.02,24,"strat",1863849.37166679,-5696.11865052127,-380.022533021693,28806.1359430852
"165",0.02,24,"calib",1767682.03540409,-4496.12202502642,819.974092473162,-67361.2003196133
"166",0.02,24,"lasso",1870113.65516668,-5781.66858877783,-465.572471278253,35070.4194429787
"167",0.02,24,"logit",1898281.965586,-6315.80558081541,-999.709463315829,63238.7298622958
"168",0.02,24,"bart",1859903.43468669,-5668.02372368624,-351.927606186661,24860.1989629876
"169",0.02,25,"none",1875870.65679392,-5838.25766428574,-522.161546786166,40827.4210702172
"170",0.02,25,"rake",1803950.24833301,-4898.7041300373,417.391987462278,-31092.9873906921
"171",0.02,25,"strat",1810069.89211382,-4865.64552617436,450.450591325217,-24973.3436098909
"172",0.02,25,"calib",1855575.77652864,-5630.75827704291,-314.66215954333,20532.5408049356
"173",0.02,25,"lasso",1845660.69857622,-5474.60107601495,-158.504958515374,10617.4628525178
"174",0.02,25,"logit",1978728.14582803,-7336.20917729829,-2020.11305979871,143684.910104328
"175",0.02,25,"bart",1851548.14019387,-5410.76145228185,-94.6653347822667,16504.9044701634
"176",0.02,26,"none",1872443.35100387,-5832.93391722938,-516.837799729798,37400.1152801644
"177",0.02,26,"rake",1791235.17630484,-4704.02160088151,612.074516618069,-43808.0594188638
"178",0.02,26,"strat",1850927.69423026,-5541.96476511088,-225.868647611302,15884.458506556
"179",0.02,26,"calib",1808008.23704938,-4926.3775406484,389.718576851183,-27034.9986743273
"180",0.02,26,"lasso",1828701.2909728,-5223.62480089821,92.4713166013726,-6341.9447509069
"181",0.02,26,"logit",1441418.38768859,250.746173751168,5566.84229125075,-393624.848035118
"182",0.02,26,"bart",1863073.5049732,-5696.73478081256,-380.63866331298,28030.2692494898
"183",0.02,27,"none",1897852.95041377,-6132.21133471891,-816.115217219328,62809.7146900669
"184",0.02,27,"rake",1915566.44013911,-6469.50475203653,-1153.40863453695,80523.2044154031
"185",0.02,27,"strat",1892992.58127771,-6055.85803955155,-739.76192205197,57949.3455540009
"186",0.02,27,"calib",1887491.16630744,-5971.64634182968,-655.550224330104,52447.9305837378
"187",0.02,27,"lasso",1932076.40949295,-6620.14711054571,-1304.05099304613,97033.1737692417
"188",0.02,27,"logit",1894789.83434352,-6084.89001881653,-768.793901316951,59746.5986198171
"189",0.02,27,"bart",1941442.77244347,-6743.18202707324,-1427.08590957366,106399.536719763
"190",0.02,28,"none",1939101.39548457,-6833.75559079852,-1517.65947329894,104058.159760864
"191",0.02,28,"rake",1931801.59539485,-6840.26210809256,-1524.16599059298,96758.3596711406
"192",0.02,28,"strat",1960064.70471391,-7148.74366831113,-1832.64755081155,125021.468990206
"193",0.02,28,"calib",1899249.58087385,-6346.36617727606,-1030.27005977648,64206.3451501427
"194",0.02,28,"lasso",1929174.73775338,-6740.97709518111,-1424.88097768153,94131.5020296709
"195",0.02,28,"logit",1932501.54112838,-6832.81907353046,-1516.72295603088,97458.3054046731
"196",0.02,28,"bart",1935427.40957147,-6750.10822015604,-1434.01210265646,100384.173847766
"197",0.02,29,"none",1906689.11426489,-6321.00534012552,-1004.90922262594,71645.8785411851
"198",0.02,29,"rake",1905201.18064711,-6308.27600267423,-992.179885174653,70157.9449234039
"199",0.02,29,"strat",1835585.31440184,-5235.84992275057,80.246194749011,542.078678136459
"200",0.02,29,"calib",1869930.37114318,-5893.8306508113,-577.734533311718,34887.135419474
"201",0.02,29,"lasso",1880596.26818413,-5962.32480170638,-646.228684206798,45553.0324604264
"202",0.02,29,"logit",1917551.91394789,-6475.69590674232,-1159.59978924275,82508.6782241839
"203",0.02,29,"bart",1838099.77071765,-5321.78601606045,-5.68989856087501,3056.5349939405
"204",0.02,30,"none",1860950.90015501,-5678.84776221319,-362.751644713612,25907.6644313035
"205",0.02,30,"rake",1852440.7563743,-5563.62796078037,-247.531843280789,17397.5206505964
"206",0.02,30,"strat",1880270.62910826,-5998.00157187692,-681.905454377336,45227.3933845528
"207",0.02,30,"calib",1667864.92134977,-3104.55506352026,2211.54105397932,-167178.314373934
"208",0.02,30,"lasso",1856449.97281067,-5647.9972657292,-331.901148229622,21406.7370869641
"209",0.02,30,"logit",1867183.33251061,-5779.18745909236,-463.091341592785,32140.0967869011
"210",0.02,30,"bart",1878395.25304539,-5971.59740370524,-655.501286205657,43352.0173216793
"211",0.02,31,"none",1882129.06310533,-5999.77226279967,-683.676145300091,47085.8273816253
"212",0.02,31,"rake",1852909.6978971,-5642.17835057677,-326.082233077192,17866.4621733911
"213",0.02,31,"strat",1889114.93288884,-6117.92966471247,-801.833547212895,54071.6971651348
"214",0.02,31,"calib",1890052.82384183,-6192.26181891859,-876.165701419012,55009.5881181199
"215",0.02,31,"lasso",1882862.30018464,-6006.20723010069,-690.111112601116,47819.0644609311
"216",0.02,31,"logit",1847820.69331233,-5560.25721075384,-244.16109325426,12777.4575886272
"217",0.02,31,"bart",1885756.9792444,-6051.34174405903,-735.245626559451,50713.7435206955
"218",0.02,32,"none",1866046.64733933,-5768.58390907402,-452.48779157444,31003.4116156281
"219",0.02,32,"rake",1822268.74143133,-5152.55780038361,163.538317115966,-12774.4942923773
"220",0.02,32,"strat",1824567.4887753,-5179.0145752597,137.081542239881,-10475.746948401
"221",0.02,32,"calib",1833329.39055137,-5326.68138661175,-10.5852691121727,-1713.84517233889
"222",0.02,32,"lasso",1870791.95253289,-5851.41656279906,-535.320445299484,35748.7168091796
"223",0.02,32,"logit",1854369.48016113,-5681.58769515801,-365.491577658432,19326.2444374287
"224",0.02,32,"bart",1818154.65598321,-5045.99548410203,270.100633397554,-16888.5797405008
"225",0.02,33,"none",1841420.63918895,-5390.18824947646,-74.0921319768786,6377.40346524795
"226",0.02,33,"rake",1872121.09595944,-5912.25042442432,-596.154306924737,37077.8602357307
"227",0.02,33,"strat",1827598.46006171,-5151.78468817065,164.311429328929,-7444.77566199261
"228",0.02,33,"calib",1820441.04813608,-5104.91991117431,211.176206325269,-14602.1875876214
"229",0.02,33,"lasso",1839979.60037742,-5364.15554335467,-48.0594258550918,4936.36465371656
"230",0.02,33,"logit",1836656.07025102,-5348.25533992703,-32.1592224274464,1612.83452731185
"231",0.02,33,"bart",1838642.02153811,-5328.37980933562,-12.2836918360435,3598.78581440216
"232",0.02,34,"none",1879727.27766814,-5971.32043285716,-655.224315357584,44684.0419444344
"233",0.02,34,"rake",1872557.87454415,-5983.48032929344,-667.384211793859,37514.6388204466
"234",0.02,34,"strat",1851713.48593361,-5569.51232805163,-253.416210552046,16670.2502098999
"235",0.02,34,"calib",1758969.58364934,-4056.59757767712,1259.49853982246,-76073.6520743696
"236",0.02,34,"lasso",1872793.71385057,-5911.93717798927,-595.841060489691,37750.4781268665
"237",0.02,34,"logit",1856870.5397756,-5747.29016603204,-431.194048532462,21827.3040518963
"238",0.02,34,"bart",1832745.74142306,-5266.06150720011,50.0346102994654,-2297.49430064508
"239",0.02,35,"none",1934250.96756781,-6827.67032976673,-1511.57421226715,99207.731844106
"240",0.02,35,"rake",1938507.60564984,-6921.73183252473,-1605.63571502515,103464.369926133
"241",0.02,35,"strat",1942028.9275645,-6966.64563605586,-1650.54951855628,106985.691840797
"242",0.02,35,"calib",1896929.90321881,-6245.29439201504,-929.198274515458,61886.6674951063
"243",0.02,35,"lasso",1893673.17199526,-6284.78048169082,-968.684364191246,58629.9362715504
"244",0.02,35,"logit",1681383.53120235,-3126.75748016458,2189.33863733499,-153659.704521357
"245",0.02,35,"bart",1998651.17502324,-7762.24313835504,-2446.14702085546,163607.939299532
"246",0.02,36,"none",1876685.99676902,-5858.40423537521,-542.308117875627,41642.7610453125
"247",0.02,36,"rake",1835104.91771692,-5375.94225815917,-59.8461406595943,61.6819932113867
"248",0.02,36,"strat",1861736.07604047,-5635.36453746169,-319.268419962106,26692.8403167606
"249",0.02,36,"calib",1832258.76724852,-5241.89700276656,74.19911473302,-2784.46847518883
"250",0.02,36,"lasso",1837253.05276289,-5329.84944473148,-13.7533272319033,2209.81703918148
"251",0.02,36,"logit",1785019.54027636,-4587.83019607846,728.265921421116,-50023.6954473413
