"","prop_sampled","sim_num","method","(Intercept)","age"
"450",0.05,65,"rake",0,9.78180881640479e-65
"451",0.05,65,"strat",0,6.39321796044169e-68
"452",0.05,65,"calib",0,2.55631527137574e-66
"453",0.05,65,"lasso",0,5.58731109944175e-53
"454",0.05,65,"logit",0,7.32669471510767e-56
"455",0.05,65,"bart",0,5.16273561368934e-90
"456",0.05,66,"none",0,1.64487650620613e-79
"457",0.05,66,"rake",0,8.07879732438647e-82
"458",0.05,66,"strat",0,3.51948443356071e-93
"459",0.05,66,"calib",0,2.81370750436887e-87
"460",0.05,66,"lasso",0,1.05658139218939e-83
"461",0.05,66,"logit",0,7.62426136450547e-89
"462",0.05,66,"bart",0,6.17315807567707e-92
"463",0.05,67,"none",0,7.98596890147992e-68
"464",0.05,67,"rake",0,2.0607606277515e-73
"465",0.05,67,"strat",0,4.53370413637167e-75
"466",0.05,67,"calib",0,9.28942774325083e-34
"467",0.05,67,"lasso",0,1.38851869599042e-66
"468",0.05,67,"logit",0,2.43982135612939e-71
"469",0.05,67,"bart",0,2.79064380358853e-83
"470",0.05,68,"none",0,1.39717362255079e-68
"471",0.05,68,"rake",0,1.63475220260629e-89
"472",0.05,68,"strat",0,8.91881654697281e-89
"473",0.05,68,"calib",0,5.18744612962846e-113
"474",0.05,68,"lasso",0,1.51567956713704e-93
"475",0.05,68,"logit",0,1.04969851874253e-65
"476",0.05,68,"bart",0,6.25209098156006e-91
"477",0.05,69,"none",0,4.0492406814755e-68
"478",0.05,69,"rake",0,6.75383715112948e-78
"479",0.05,69,"strat",0,3.62498712279043e-77
"480",0.05,69,"calib",0,1.43878064499362e-78
"481",0.05,69,"lasso",0,1.2632554224994e-78
"482",0.05,69,"logit",0,1.35616621160024e-74
"483",0.05,69,"bart",0,3.18276364916335e-84
"484",0.05,70,"none",0,3.72918171926226e-65
"485",0.05,70,"rake",0,1.06736040672078e-76
"486",0.05,70,"strat",0,7.85399641446894e-83
"487",0.05,70,"calib",0,1.42862006587383e-62
"488",0.05,70,"lasso",0,2.4782469482062e-68
"489",0.05,70,"logit",0,1.97379339318286e-45
"490",0.05,70,"bart",0,4.77590367089042e-95
"491",0.05,71,"none",0,7.10187134637545e-69
"492",0.05,71,"rake",0,1.10654162463245e-78
"493",0.05,71,"strat",0,1.81889011649236e-87
"494",0.05,71,"calib",0,1.01987138791156e-158
"495",0.05,71,"lasso",0,1.63338939103954e-63
"496",0.05,71,"logit",0,7.48637778411966e-90
"497",0.05,71,"bart",0,2.67724521210577e-88
"498",0.05,72,"none",0,3.4215711761316e-76
"499",0.05,72,"rake",0,3.76204095477198e-102
"500",0.05,72,"strat",0,9.4128463497038e-93
"501",0.05,72,"calib",0,5.94436857839084e-86
"502",0.05,72,"lasso",0,6.50831384279526e-90
"503",0.05,72,"logit",0,5.42274867519003e-76
"504",0.05,72,"bart",0,2.63804115574636e-82
"505",0.05,73,"none",0,5.37219404089778e-84
"506",0.05,73,"rake",0,9.80050802499012e-115
"507",0.05,73,"strat",0,2.32951314943137e-112
"508",0.05,73,"calib",0,2.3177974649249e-116
"509",0.05,73,"lasso",0,1.81998987167275e-86
"510",0.05,73,"logit",0,4.59904947356091e-123
"511",0.05,73,"bart",0,2.21352122365001e-111
"512",0.05,74,"none",0,9.42643325166754e-79
"513",0.05,74,"rake",0,1.18151443970279e-84
"514",0.05,74,"strat",0,2.48574570844649e-94
"515",0.05,74,"calib",0,9.83190576936479e-32
"516",0.05,74,"lasso",0,1.62520583903202e-110
"517",0.05,74,"logit",0,1.25966531650437e-79
"518",0.05,74,"bart",0,3.0452893937601e-90
"519",0.05,75,"none",0,1.85122576111023e-76
"520",0.05,75,"rake",0,5.09598352670714e-83
"521",0.05,75,"strat",0,9.82480143901411e-108
"522",0.05,75,"calib",0,1.27357821321926e-65
"523",0.05,75,"lasso",0,3.60096467301089e-71
"524",0.05,75,"logit",0,6.25321226444527e-88
"525",0.05,75,"bart",0,4.68963173828647e-112
"526",0.05,76,"none",0,1.24732056666206e-70
"527",0.05,76,"rake",0,7.68799994409871e-98
"528",0.05,76,"strat",0,8.45559249998331e-97
"529",0.05,76,"calib",0,2.47679094973264e-45
"530",0.05,76,"lasso",0,4.71329769160494e-99
"531",0.05,76,"logit",0,6.11537481506617e-79
"532",0.05,76,"bart",0,3.97004290230831e-82
"533",0.05,77,"none",0,5.10173886313784e-76
