"","prop_sampled","sim_num","method","(Intercept)","age_sq"
"327",0.057,47,"lasso",2.61008598424659e-75,5.05010449450624e-54
"328",0.057,47,"logit",1.4834103459291e-63,1.00379380490704e-53
"329",0.057,47,"bart",3.4063451992311e-92,1.25357057562491e-87
"330",0.057,48,"none",2.05716757308995e-51,1.06491611762482e-33
"331",0.057,48,"rake",2.05716757308995e-51,1.06491611762482e-33
"332",0.057,48,"strat",1.59060848788945e-95,2.43345440986433e-94
"333",0.057,48,"calib",8.94764992216532e-55,7.63014899187769e-45
"334",0.057,48,"lasso",7.17219888203532e-54,1.57718514017369e-42
"335",0.057,48,"logit",1.6887265957329e-64,4.70781381409148e-56
"336",0.057,48,"bart",3.55548300036257e-30,2.2447920062519e-20
"337",0.057,49,"none",2.84927464797842e-64,1.52039432249794e-43
"338",0.057,49,"rake",2.84927464797842e-64,1.52039432249794e-43
"339",0.057,49,"strat",7.0828055150401e-66,3.03531792735333e-59
"340",0.057,49,"calib",7.27265891179652e-65,1.54002172203932e-56
"341",0.057,49,"lasso",9.24331942671816e-69,2.90142037125616e-55
"342",0.057,49,"logit",1.30243651455681e-45,1.21834405932384e-38
"343",0.057,49,"bart",3.80590499702726e-75,8.02110007734291e-68
"344",0.057,50,"none",1.64051084507173e-56,3.5157094944296e-36
"345",0.057,50,"rake",1.64051084507173e-56,3.5157094944296e-36
"346",0.057,50,"strat",1.19758624433037e-86,7.92860337214403e-78
"347",0.057,50,"calib",3.76549239927851e-77,2.07417249709741e-70
"348",0.057,50,"lasso",2.07100255773405e-57,7.90527526982674e-43
"349",0.057,50,"logit",1.10749469629414e-60,1.47103194099432e-50
"350",0.057,50,"bart",2.37414497050769e-81,3.52168562556647e-70
"351",0.057,51,"none",1.94279994091157e-61,1.45658711861646e-42
"352",0.057,51,"rake",1.94279994091157e-61,1.45658711861646e-42
"353",0.057,51,"strat",1.46397318730581e-72,3.87146719100757e-60
"354",0.057,51,"calib",1.05938091328876e-96,1.48018810271727e-88
"355",0.057,51,"lasso",4.23398128479484e-85,1.26679902525756e-74
"356",0.057,51,"logit",2.1106236791331e-74,1.9551786176527e-72
"357",0.057,51,"bart",4.80763876446526e-105,2.3624380705034e-104
"358",0.057,52,"none",2.61757683166635e-58,2.4757450945509e-39
"359",0.057,52,"rake",2.61757683166635e-58,2.4757450945509e-39
"360",0.057,52,"strat",3.47626442349902e-74,4.47292777321324e-62
"361",0.057,52,"calib",1.77511077827095e-48,8.55890536587062e-38
"362",0.057,52,"lasso",3.07456950649305e-78,9.65774008291034e-68
"363",0.057,52,"logit",2.48428860805034e-70,1.17705777487676e-63
"364",0.057,52,"bart",4.54332965429902e-55,2.03414709085762e-40
"365",0.057,53,"none",5.28127154937146e-65,3.78889326844421e-46
"366",0.057,53,"rake",5.28127154937146e-65,3.78889326844421e-46
"367",0.057,53,"strat",4.41112069033881e-82,1.13647760097841e-76
"368",0.057,53,"calib",8.06765737089692e-80,3.29307435410632e-63
"369",0.057,53,"lasso",1.71476379372589e-92,1.8877108319283e-68
"370",0.057,53,"logit",5.7116943555739e-79,9.56499105237793e-71
"371",0.057,53,"bart",1.36837592299689e-94,9.09131673603498e-90
"372",0.057,54,"none",1.44296482870564e-61,7.82184674469273e-41
"373",0.057,54,"rake",1.44296482870564e-61,7.82184674469273e-41
"374",0.057,54,"strat",1.4555706092272e-91,2.08314955381312e-82
"375",0.057,54,"calib",7.20731950418076e-82,9.93156769365724e-74
"376",0.057,54,"lasso",9.3204929113843e-68,4.47230942331874e-46
"377",0.057,54,"logit",1.78641515466214e-65,2.3758124181665e-54
"378",0.057,54,"bart",2.74802624667056e-88,6.42546264037091e-79
"379",0.057,55,"none",4.39324164240698e-54,1.45685497326482e-37
"380",0.057,55,"rake",4.39324164240698e-54,1.45685497326482e-37
"381",0.057,55,"strat",6.06748633902297e-112,9.1829400038752e-112
"382",0.057,55,"calib",2.41983106984237e-46,8.03858717955991e-39
"383",0.057,55,"lasso",7.70544234989436e-59,5.62710371323511e-49
"384",0.057,55,"logit",3.69995084669345e-77,5.26336421419422e-69
"385",0.057,55,"bart",2.68619400203256e-136,2.76155498781192e-142
"386",0.057,56,"none",1.48598608751033e-45,1.23819898591513e-30
"387",0.057,56,"rake",1.48598608751033e-45,1.23819898591513e-30
"388",0.057,56,"strat",2.89930756365139e-75,3.94335260501575e-71
"389",0.057,56,"calib",1.68262898988425e-47,3.41167973694136e-35
"390",0.057,56,"lasso",1.05574729698259e-43,2.25915368651779e-34
"391",0.057,56,"logit",3.56753399513209e-50,1.6710408406929e-45
"392",0.057,56,"bart",1.1078706936982e-68,7.31032554168609e-63
"393",0.057,57,"none",5.62992140255674e-59,5.20168496376396e-39
"394",0.057,57,"rake",5.62992140255674e-59,5.20168496376396e-39
"395",0.057,57,"strat",9.00876913368746e-108,3.96787953009175e-105
"396",0.057,57,"calib",1.18133038720261e-72,4.72727154620933e-65
